宝可梦地区,现实地区,pokemon,纬度,经度,推荐地址,是否精确匹配,,,
第4岛,青岛,乌波、玛力露、可达鸭、呆呆兽、鲤鱼王、蚊香蝌蚪、角金鱼、蚊香君、暴鲤龙,36.0662299,120.38299,"Qingdao, Shandong, China",是,,,
冻瀑洞窟,丸山,小海狮、大嘴蝠、白海狮、超音蝠、可达鸭、呆呆兽、乌波、玛力露、鲤鱼王、蚊香蝌蚪、角金鱼、蚊香君、暴鲤龙、小山猪、信使鸟、狃拉、玛瑙水母、毒刺水母、拉普拉斯、墨海马、大钳蟹、大舌贝、海星星、海刺龙、巨钳蟹,,,,否,,,
第5岛,聟岛列岛,玛瑙水母、毽子草、毒刺水母、鲤鱼王、墨海马、大钳蟹、大舌贝、海星星、暴鲤龙、海刺龙、巨钳蟹、可达鸭、呆呆兽,27.6753167,142.145138,"Muko Island, Mukojimahonto Mukojima, Ogasawara, Tokyo 100-2100, Japan",是,,,
水之迷宫,西之岛,波克比、玛瑙水母、毽子草、毒刺水母、鲤鱼王、墨海马、大钳蟹、千针鱼、铁炮鱼、暴鲤龙、海刺龙、巨钳蟹、可达鸭、呆呆兽,27.2471188,140.8778523,"Nishinoshima Island, Nishinoshima, Ogasawara, Tokyo 100-2100, Japan",是,,,
豪华度假区,中之岛,,34.6917217,135.4910214,"Nakanoshima, Kita Ward, Osaka, 530-0005, Japan",是,,,
不归之穴,笹鱼岛,超音蝠、大嘴蝠、鬼斯、鬼斯通、黑暗鸦、梦妖,,,,否,,,
回忆之塔,媒岛,毽子草、玛瑙水母、毒刺水母、鲤鱼王、墨海马、大钳蟹、千针鱼、铁炮鱼、暴鲤龙、海刺龙、巨钳蟹、可达鸭、呆呆兽,27.6288532,142.1792857,"Nakodojima Island, Nakodojima Mukojima, Ogasawara, Tokyo 100-2100, Japan",是,,,
第６岛,父岛列岛,,,,,否,,,
遗迹山谷,父岛,天然雀、烈雀、大嘴雀、喵喵、蜻蜻蜓、乌波、玛力露、猫老大、可达鸭、呆呆兽、果然翁、鲤鱼王、蚊香蝌蚪、角金鱼、蚊香君、暴鲤龙,27.074353,142.2177824,"Chichi-jima, Chichijima, Ogasawara, Tokyo 100-2101, Japan",是,,,
绿之步道,兄岛,玛瑙水母、毒刺水母、鲤鱼王、墨海马、大钳蟹、千针鱼、铁炮鱼、暴鲤龙、海刺龙、巨钳蟹、可达鸭、呆呆兽,27.1244466,142.2098158,"Anijima Island, Anijima Chichijima, Ogasawara, Tokyo 100-2101, Japan",是,,,
外岛,弟岛,玛瑙水母、毒刺水母、鲤鱼王、墨海马、大钳蟹、千针鱼、铁炮鱼、暴鲤龙、海刺龙、巨钳蟹、可达鸭、呆呆兽,27.1678359,142.1885761,"Ototojima Island, Ototojima Chichijima, Ogasawara, Tokyo 100-2101, Japan",是,,,
第７岛,母岛,,26.6734996,142.1540754,"Hahajima Retto, Hahajima, Ogasawara, Tokyo 100-2211, Japan",是,,,
阿斯卡纳遗迹,母岛列岛,玛瑙水母、毒刺水母、巨翅飞鱼、鲤鱼王、墨海马、大钳蟹、千针鱼、铁炮鱼、暴鲤龙、海刺龙、巨钳蟹、可达鸭、呆呆兽,26.6825745,142.1446287,"Hahajima Island, Koshinzuka Hahajima, Ogasawara, Tokyo 100-2211, Japan",是,,,
脐之岩,鸟岛,,-36.8331463,174.4249692,"25/27-37 Waitea Road, Muriwai 0881, New Zealand",否,,,
诞生之岛,南鸟岛,代欧奇希斯,24.2867829,153.9807774,"Minami-Tori-shima, Minamitorishima, Ogasawara, Tokyo 100-2100, Japan",是,,,
白银山,富士山,小火马、烈焰马、蔓藤怪、圈圈熊、顿甲、阿柏怪、嘟嘟、嘟嘟利、大嘴蝠、蚊香君、狃拉、蚊香蝌蚪、鲤鱼王、隆隆石、大岩蛇、幼基拉斯、鸭嘴火兽、哥达鸭、派拉斯特、豪力、沼王、梦妖、角金鱼、金鱼王、沙基拉斯、赫拉克罗斯、长尾怪手、天然雀、直冲熊、咕妞妞、大牙狸、泳圈鼬、熊宝宝、小小象、暴鲤龙、幕下力士、阿勃梭鲁、铃铛响、铜镜怪、大钢蛇、火焰鸟,35.3606255,138.7273634,"Mount Fuji, Kitayama, Fujinomiya, Shizuoka 418-0112, Japan",是,,,
若叶镇,静岡市,菊草叶、火球鼠、小锯鳄、玛瑙水母、毒刺水母、鲤鱼王、灯笼鱼、大舌贝、电灯怪、蛋蛋、咕咕、芭瓢虫、圆丝蛛、榛果球,34.9755668,138.3826773,"Shizuoka, Japan",是,,,
29号道路,岡崎平野,,34.9548536,137.1730774,"Okazaki, Aichi, Japan",否,,,
吉花市,豊橋市,玛瑙水母、毒刺水母、鲤鱼王、大钳蟹、太阳珊瑚、海星星、巨钳蟹、蛋蛋、咕咕、芭瓢虫、圆丝蛛、榛果球、傲骨燕,34.7688528,137.3916837,"Toyohashi, Aichi, Japan",是,,,
31号道路,濃尾平野,,,,,否,,,
桔梗市,奈良市,大岩蛇、波克比、蚊香蝌蚪、蚊香君、鲤鱼王、咩利羊、乌波、熔岩虫、蛋蛋、咕咕、榛果球、鲶鱼王,34.685109,135.8048019,"Nara, Japan",是,,,
喇叭芽之塔,興福寺五重塔,小拉达、鬼斯、蛇纹熊、晃晃斑、玛沙那、聒噪鸟,34.6824704,135.8322415,"48 Noboriōjichō, Nara, 630-8213, Japan",是,,,
阿露福遗迹,明日香村,未知图腾、天然雀、图图犬、乌波、沼王、鲤鱼王、蚊香蝌蚪、蚊香君、小拳石、直冲熊、咕妞妞、大牙狸、泳圈鼬,34.4713594,135.8206452,"Asuka, Takaichi District, Nara, Japan",是,,,
32号道路,伊勢志摩,,,,,否,,,
互连洞,青の洞窟,穿山鼠、小拳石、超音蝠、小拉达、大岩蛇、乌波、沼王、鲤鱼王、角金鱼、金鱼王、拉达、大嘴蝠、玛瑙水母、毒刺水母、灯笼鱼、大舌贝、电灯怪、拉普拉斯、幕下力士、阿勃梭鲁、铃铛响、铜镜怪、大钳蟹、太阳珊瑚、海星星、巨钳蟹,26.4425977,127.7734662,"469-1 Maeda, Onna, Kunigami District, Okinawa 904-0417, Japan",否,,,
３３号道路,熊野市,,33.8885197,136.1002268,"Kumano, Mie, Japan",是,,,
桧皮镇,みなべ町,绿毛虫、巴大蝶、独角虫、大针蜂、蛋蛋、榛果球、烈雀、长尾怪手、阿柏蛇、铁甲蛹、铁壳蛹、赫拉克罗斯,33.7678758,135.3176872,"Minabe, Hidaka District, Wakayama, Japan",是,,,
呆呆兽之井,熊野本宮大社,超音蝠、呆呆兽、鲤鱼王、角金鱼、金鱼王、大嘴蝠、呆壳兽、幕下力士、阿勃梭鲁、铃铛响、铜镜怪,33.8405706,135.7734753,"1110 Hongūchō Hongū, Tanabe, Wakayama 647-1731, Japan",是,,,
栎树林,熊野古道,绿毛虫、独角虫、铁甲蛹、铁壳蛹、派拉斯、超音蝠、波波、走路草、毛球、可达鸭、咕咕、榛果球、蛋蛋、猫头夜鹰、巴大蝶、大针蜂、哥达鸭、鲤鱼王、蚊香蝌蚪、蚊香君、时拉比、呆火驼、跳跳猪、含羞苞、尖牙笼,,,,否,,,
34号道路,有田市,,34.0830306,135.1276824,"Arida, Wakayama, Japan",是,,,
满金市,大阪市,腕力、伊布、烈雀,34.6937249,135.5022535,"Osaka, Japan",是,,,
满金百货店,阪神百貨店,,,,,否,,,
满金地道,ホワイティうめだ,,34.7029675,135.4995272,"Japan, 〒530-0018 Osaka, Kita Ward, Komatsubarachō, 7 梅田地下街 4-2",是,,,
全球终端,関西国際空港,,34.4319994,135.2366019,"Kansai International Airport (KIX), 1番地 Senshūkūkōkita, Izumisano, Osaka 549-0001, Japan",是,,,
磁浮列车车站,新大阪駅,,34.7334658,135.5002547,"Shin-Ōsaka Station, 5-chōme-16 Nishinakajima, Yodogawa Ward, Osaka, 532-0011, Japan",是,,,
播音塔,通天閣,,34.6524992,135.5063058,"1-chōme-18-6 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002, Japan",是,,,
35号道路,服部緑地,,34.7759539,135.4881946,"Hattori Ryokuchi Park, 1-chōme-1 Hattoriryokuchi, Toyonaka, Osaka 561-0873, Japan",是,,,
自然公园,万博記念公園,绿毛虫、独角虫、铁甲蛹、铁壳蛹、尼多兰、尼多朗、波波、芭瓢虫、向日种子、咕咕、圆丝蛛、可达鸭、毛球、大钳蟹、蛋蛋、榛果球、樱花宝、正电拍拍、负电拍拍、小猫怪,34.8060955,135.5290016,"Expo '70 Commemorative Park, Senribanpakukōen, Suita, Osaka 565-0826, Japan",是,,,
宝可全能竞技赛巨蛋,大阪ドーム,,34.6692804,135.4761427,"3-chōme-中２-中２−１ Chiyozaki, Nishi Ward, Osaka, 550-0023, Japan",否,,,
３６号道路,京田辺市,,34.8144429,135.7676507,"Kyotanabe, Kyoto, Japan",是,,,
３７号道路,伏見区,,34.9330054,135.7679964,"Fushimi Ward, Kyoto, Japan",是,,,
缘朱市,京都市,蚊香蝌蚪、蚊香君、鲤鱼王、蛋蛋、咕咕、榛果球、圆丝蛛、芭瓢虫、波克比、叉字蝠,35.011564,135.7681489,"Kyoto, Japan",是,,,
铃铛塔,金閣寺,小拉达、鬼斯、水君、凤王、蛇纹熊、晃晃斑、玛沙那、聒噪鸟,35.03937,135.7292431,"1 Kinkakujichō, Kita Ward, Kyoto, 603-8361, Japan",是,,,
东寺,金閣寺,,35.03937,135.7292431,"1 Kinkakujichō, Kita Ward, Kyoto, 603-8361, Japan",是,,,
東寺,東寺,,34.9803395,135.7476935,"1 Kujōchō, Minami Ward, Kyoto, 601-8473, Japan",否,,,
哆露宝岛,神岛,,33.7030193,135.3759287,"Kami Island, Shinjocho, Tanabe, Wakayama 646-0011, Japan",是,,,
唻映虹岛,知夫里岛,,36.0181295,133.0340624,"Chiburijima, Chibu, Oki District, Shimane 684-0100, Japan",是,,,
椰林村,知夫村,,36.0139223,133.0395309,"Chibu, Oki District, Shimane 684-0100, Japan",是,,,
柚木森林,仁夫,,,,,否,,,
塔尔加的家,薄毛,,,,,否,,,
锉刀洞窟,知夫赤壁,,36.0098657,133.0098599,"Japan, 〒684-0100 島根県隠岐郡知夫村仁夫",否,,,
拉普拉斯海滩,浅岛,,,,,否,,,
拉拖拉拖山道,岛根县道,,35.1244094,132.6293446,"Shimane, Japan",是,,,
拉拖拉拖山,赤秃山,,33.4973043,131.723279,"Musashimachi Itoharu, Kunisaki, Oita 873-0421, Japan",否,,,
无线基地,赤秃山瞭望台,,33.4973043,131.723279,"Musashimachi Itoharu, Kunisaki, Oita 873-0421, Japan",否,,,
咪轮陀岛,中之岛,,34.6917217,135.4910214,"Nakanoshima, Kita Ward, Osaka, 530-0005, Japan",是,,,
古老大宅,宫田神社,,,,,否,,,
朝阳遗迹,隐岐神社,,36.0957798,133.1012778,"1784 Ama, Oki-gun, Shimane 684-0403, Japan",否,,,
咪轮陀街道,唯山,,25.1186385,121.5314976,"No. 6號, Lane 14, Section 7, Zhongshan N Rd, Shilin District, Taipei City, Taiwan 111",否,,,
危险悬崖,知知井,,,,,否,,,
发地热岛,松岛,,38.3708273,141.065175,"Matsushima, Miyagi District, Miyagi 981-0213, Japan",是,,,
索慧原岛,岛后,,36.2496353,133.2829617,"Dōgojima, Okinoshima, Oki District, Shimane, Japan",是,,,
水流度假地,隐岐之岛町,,36.20915,133.3216953,"Okinoshima, Oki District, Shimane, Japan",是,,,
雪葩酪山,大满寺山,,36.257128,133.3304442,"Mt. Daimanji, Fuse, Okinoshima, Oki District, Shimane 685-0412, Japan",是,,,
索慧原街道,岛根县道,,35.1244094,132.6293446,"Shimane, Japan",是,,,
白银瀑布,坛镜瀑布,,36.240679,133.2360709,"Dangyono Falls, Nagu, Okinoshima, Oki District, Shimane 685-0103, Japan",是,,,
奥卜利比亚遗迹,坛镜神社,,36.240693,133.2356868,"1617 Nagu, Okinoshima, Oki-gun, Shimane 685-0103, Japan",否,,,
运河遗迹,隐岐国分寺迹,,36.2102418,133.3286895,"Oki Islands, Shimane, Japan",否,,,
拉雷云岛,西之岛,,27.2471188,140.8778523,"Nishinoshima Island, Nishinoshima, Ogasawara, Tokyo 100-2100, Japan",是,,,
拉雷云山,烧火山,,36.0747637,133.0315525,"Mt. Takuhi, Mita, Nishinoshima, Oki District, Shimane 684-0303, Japan",是,,,
嘻可丽丽岛,独岛,,37.2429362803634,131.866842079353,Liancourt,Rocks,是,,
彩虹祭坛,大柱岛,,,,,否,,,
铠岛驿站,拉姆西,,50.98893,-1.49658,"Romsey SO51, UK",是,,,
圆环海湾,拉姆西湾,小箭雀、夜盗火蜥、燃烧虫、吉利蛋、火箭雀、煤炭龟、烈箭鹰、焰后蜥、火神蛾、烛光灵、幸福蛋、水晶灯火灵、喷火龙、九尾、风速狗、墨海马、黏黏宝、心鳞宝、海刺龙、啃果虫、赤面龙、黏美儿、鳞甲龙、暴鲤龙、苹裹龙、丰蜜龙、刺龙王、黏美龙、杖尾鳞甲龙、樱花宝、甜舞妮、藏饱栗鼠、甜冷美后、玛瑙水母、大钳蟹、铁炮鱼、毒刺水母、弱丁鱼、巨钳蟹、章鱼桶、巨翅飞鱼、刺甲贝、大舌贝、龟脚脚、好坏星、拳海参、龟足巨铠、超坏星、滚滚蝙蝠、电飞鼠、毛头小鹰、秃鹰丫头、心蝙蝠、勇士雄鹰、秃鹰娜、咕咕、豆豆鸽、咕咕鸽、猫头夜鹰、高傲雉鸡、贪心栗鼠、长翅鸥、飘飘球、小福蛋、好啦鱿、索侦虫、拳拳蛸、鲤鱼王、石居蟹、啪嚓海胆、胖可丁、胡地、大嘴鸥、勒克猫、伦琴猫、自爆磁怪、索罗亚克、乌贼王、岩狗狗、噬沙堡爷、暴噬龟、八爪武师、电灯怪、胖嘟嘟、沙丘娃,,,,否,,,
健身之海,斯米尔沿海地区,玛瑙水母、鲤鱼王、大舌贝、海星星、毒刺水母、吉利蛋、暴鲤龙、宝石海星、水箭龟、刺甲贝、龟脚脚、幸福蛋、龟足巨铠、灯笼鱼、垃垃藻、铁臂枪虾、吼吼鲸、弱丁鱼、电灯怪、吼鲸王、巨牙鲨、毒藻龙、钢炮臂虾、大嘴鸥、海刺龙、百变怪、利牙鱼、驹刀小兵、索罗亚、乌贼王、龙王蝎、劈斩司令、索罗亚克、好啦鱿、混混鳄、狐大盗、酷豹、流氓鳄、凯罗斯、赫拉克罗斯、石居蟹、天罩虫、岩殿居蟹、飞天螳螂、巨钳螳螂、以欧路普、壶壶、车轮球、蜈蚣王、骑士蜗牛、敏捷虫、滚滚蝙蝠、小箭雀、电飞鼠、毛头小鹰、秃鹰丫头、火箭雀、心蝙蝠、勇士雄鹰、秃鹰娜、烈箭鹰、咕咕、豆豆鸽、咕咕鸽、猫头夜鹰、高傲雉鸡、墨海马、黏黏宝、心鳞宝、啃果虫、赤面龙、黏美儿、鳞甲龙、苹裹龙、丰蜜龙、刺龙王、黏美龙、杖尾鳞甲龙、爆焰龟兽、老翁龙、音波龙、蛋蛋、小福蛋、索侦虫、贪心栗鼠、铁炮鱼、章鱼桶、长翅鸥、飘飘球、小球飞鱼、胖嘟嘟、椰蛋树、洛托姆,,,,否,,,
揖礼原野,哲比,独角犀牛、石丸子、地幔岩、岩狗狗、钻角犀兽、吉利蛋、岩殿居蟹、庞岩怪、超甲狂犀、鬃岩狼人、盆才怪、壶壶、幸福蛋、树才怪、宝宝丁、露力丽、花疗环环、胖丁、玛力露、胖可丁、玛力露丽、钥圈儿、沙奈朵、皮宝宝、睡睡菇、皮皮、奇鲁莉安、皮可西、灯罩夜菇、凯罗斯、赫拉克罗斯、石居蟹、天罩虫、飞天螳螂、巨钳螳螂、以欧路普、车轮球、蜈蚣王、骑士蜗牛、敏捷虫、蚊香蝌蚪、乌波、蚊香君、角金鱼、铁螯龙虾、金鱼王、沼王、蚊香泳士、蚊香蛙皇、龙虾小兵、滴蛛、滴蛛霸、哎呀球菇、伪螳草、百合根娃娃、兰螳花、蔓藤怪、败露球菇、裙儿小姐、巨蔓藤、沙铃仙人掌、暴雪王、小箭雀、夜盗火蜥、燃烧虫、火箭雀、煤炭龟、烈箭鹰、焰后蜥、火神蛾、烛光灵、水晶灯火灵、喷火龙、九尾、风速狗、小约克、卷卷耳、哈约克、长耳兔、土龙弟弟、长毛狗、童偶熊、毛毛角羊、穿着熊、小磁怪、咚咚鼠、小猫怪、莫鲁贝可、勒克猫、三合一磁怪、啪嚓海胆、伦琴猫、自爆磁怪、皮丘、皮卡丘、雷丘、雷电兽、逐电犬、功夫鼬、拳拳蛸、不良蛙、滑滑小子、毒骷蛙、头巾混混、投掷猴、八爪武师、师父鼬、投摔鬼、打击鬼、列阵兵、葱游兵、玛瑙水母、大钳蟹、铁炮鱼、毒刺水母、弱丁鱼、巨钳蟹、章鱼桶、巨翅飞鱼、刺甲贝、大舌贝、龟脚脚、好坏星、拳海参、龟足巨铠、超坏星、贪心栗鼠、啃果虫、拉鲁拉丝、小福蛋、好啦鱿、索侦虫、鲤鱼王、凯西、长翅鸥、大嘴鸥、飘飘球、小球飞鱼、勇基拉、宝石海星、索罗亚、乌贼王、暴噬龟、呆呆兽,,,,否,,,
清凉湿原,萨尔比河谷,,,,,否,,,
斗志洞窟,斯纳费尔山,穿山鼠、黑眼鳄、卡拉卡拉、穿山王、吉利蛋、混混鳄、嘎啦嘎啦、沙螺蟒、袋兽、流氓鳄、大颚蚁、幸福蛋、沙漠蜻蜓、泥偶巨人、可达鸭、咬咬龟、泥泥鳅、刺梭鱼、哥达鸭、古月鸟、暴噬龟、戽斗尖梭、鲶鱼王、野蛮鲈鱼、轻飘飘、沙丘娃、飘飘球、随风球、胖嘟嘟、噬沙堡爷、南瓜怪人、魔灵珊瑚、小磁怪、钥圈儿、驹刀小兵、三合一磁怪、盔甲鸟、劈斩司令、自爆磁怪、喵喵、铜镜怪、齿轮怪、青铜钟、喵头目、路卡利欧、蚊香蝌蚪、乌波、蚊香君、角金鱼、铁螯龙虾、金鱼王、沼王、蚊香泳士、蚊香蛙皇、龙虾小兵、滴蛛、滴蛛霸、大舌头、咕妞妞、大奶罐、吼爆弹、肯泰罗、爆炸头水牛、爆音怪、大舌舔、奇诺栗鼠、大舌贝、刺甲贝、鲤鱼王、玛瑙水母、拳拳蛸、滚滚蝙蝠、石居蟹、胆小虫、啪嚓海胆、心蝙蝠、岩殿居蟹、赤面龙、具甲武者、毒刺水母,47.0761111,12.6913889,"Teufelshorn, 9981, Austria",是,,,
战斗洞窟,圣米迦勒,小磁怪、钥圈儿、驹刀小兵、三合一磁怪、吉利蛋、盔甲鸟、劈斩司令、自爆磁怪、喵喵、铜镜怪、幸福蛋、齿轮怪、青铜钟、喵头目、路卡利欧、可达鸭、蚊香蝌蚪、大舌头、咕妞妞、露力丽、滚滚蝙蝠、泥泥鳅、哥达鸭、蚊香泳士、吼爆弹、庞岩怪、心蝙蝠、赤面龙,22.2878542,114.1957588,"23 Fortress Hill Rd, North Point, Hong Kong",否,,,
专注森林,圣卢,凯罗斯、赫拉克罗斯、石居蟹、天罩虫、吉利蛋、岩殿居蟹、飞天螳螂、巨钳螳螂、以欧路普、壶壶、车轮球、幸福蛋、蜈蚣王、骑士蜗牛、敏捷虫、蛋蛋、哎呀球菇、蔓藤怪、伪螳草、兰螳花、椰蛋树、败露球菇、妙蛙花、巨蔓藤、毒蔷薇、罗丝雷朵、小磁怪、咚咚鼠、小猫怪、莫鲁贝可、勒克猫、三合一磁怪、啪嚓海胆、伦琴猫、自爆磁怪、皮丘、皮卡丘、雷丘、雷电兽、逐电犬、宝宝丁、露力丽、花疗环环、胖丁、玛力露、胖可丁、玛力露丽、钥圈儿、沙奈朵、皮宝宝、睡睡菇、皮皮、奇鲁莉安、皮可西、灯罩夜菇、钳尾蝎、百足蜈蚣、玛瑙水母、毒刺水母、龙王蝎、千针鱼、好坏星、超坏星、双弹瓦斯、可达鸭、咬咬龟、泥泥鳅、刺梭鱼、哥达鸭、古月鸟、暴噬龟、戽斗尖梭、鲶鱼王、圆蝌蚪、蓝蟾蜍、蟾蜍王、暴鲤龙、野蛮鲈鱼、电飞鼠、贪心栗鼠、啃果虫、龙虾小兵、小福蛋、索罗亚、盖盖虫、驹刀小兵、沙包蛇、角金鱼、鲤鱼王、不良蛙、黏黏宝、智挥猩、投掷猴、穿山王、卡拉卡拉、铁螯龙虾、小嘴蜗、燃烧虫,46.135685,2.272921,"23130 Saint-Loup, France",是,,,
挑战海滩,道格拉斯,小箭雀、夜盗火蜥、燃烧虫、吉利蛋、火箭雀、煤炭龟、烈箭鹰、焰后蜥、火神蛾、烛光灵、幸福蛋、水晶灯火灵、喷火龙、九尾、风速狗、可达鸭、咬咬龟、泥泥鳅、刺梭鱼、哥达鸭、古月鸟、暴噬龟、戽斗尖梭、鲶鱼王、圆蝌蚪、蓝蟾蜍、蟾蜍王、暴鲤龙、野蛮鲈鱼、小磁怪、咚咚鼠、小猫怪、莫鲁贝可、勒克猫、三合一磁怪、啪嚓海胆、伦琴猫、自爆磁怪、皮丘、皮卡丘、雷丘、雷电兽、逐电犬、功夫鼬、拳拳蛸、不良蛙、滑滑小子、毒骷蛙、头巾混混、投掷猴、八爪武师、师父鼬、投摔鬼、打击鬼、列阵兵、葱游兵、凯西、蛋蛋、勇基拉、拉鲁拉丝、奇鲁莉安、智挥猩、椰蛋树、沙奈朵、胡地、宝石海星、小灰怪、呆呆兽、梦梦蚀、大宇怪、爱管侍、超能妙喵、玛瑙水母、大钳蟹、铁炮鱼、毒刺水母、弱丁鱼、巨钳蟹、章鱼桶、巨翅飞鱼、刺甲贝、大舌贝、龟脚脚、好坏星、拳海参、龟足巨铠、超坏星、穿山鼠、黑眼鳄、卡拉卡拉、穿山王、混混鳄、嘎啦嘎啦、沙螺蟒、袋兽、流氓鳄、大颚蚁、沙漠蜻蜓、泥偶巨人、轻飘飘、沙丘娃、飘飘球、随风球、胖嘟嘟、噬沙堡爷、南瓜怪人、魔灵珊瑚、贪心栗鼠、啃果虫、胖丁、卷卷耳、小福蛋、好啦鱿、伪螳草、索侦虫、鲤鱼王、破破舵轮、长翅鸥、大嘴鸥、胖可丁、玛力露、玛力露丽、铁螯龙虾、长耳兔、龙王蝎、心蝙蝠、裙儿小姐、乌贼王、兰螳花、花疗环环、具甲武者、电灯怪、海星星,,,,否,,,
水之塔,圣玛丽岛,,-16.8944201,49.9059405,"Nosy Boraha, Madagascar",是,,,
离岛海域,爱尔兰海,宝宝丁、露力丽、吉利蛋、花疗环环、胖丁、玛力露、胖可丁、玛力露丽、钥圈儿、沙奈朵、皮宝宝、睡睡菇、皮皮、幸福蛋、奇鲁莉安、皮可西、灯罩夜菇、小约克、卷卷耳、哈约克、长耳兔、土龙弟弟、长毛狗、童偶熊、毛毛角羊、穿着熊、哎呀球菇、伪螳草、百合根娃娃、兰螳花、蔓藤怪、败露球菇、裙儿小姐、巨蔓藤、沙铃仙人掌、暴雪王、灯笼鱼、垃垃藻、铁臂枪虾、海星星、吼吼鲸、弱丁鱼、宝石海星、电灯怪、吼鲸王、巨牙鲨、毒藻龙、钢炮臂虾、大嘴鸥、海刺龙、玛瑙水母、大钳蟹、铁炮鱼、毒刺水母、巨钳蟹、章鱼桶、巨翅飞鱼、刺甲贝、龟脚脚、冻原熊、冰岩怪、蛋蛋、长翅鸥、小福蛋、索侦虫、贪心栗鼠、啃果虫、鲤鱼王、墨海马、暴鲤龙、飘飘球、小球飞鱼、胖嘟嘟、火箭雀、胡地、椰蛋树、自爆磁怪、索罗亚克、火神蛾,53.8276917,-4.4658366,Irish,Sea,是,,
锻炼平原,拉申,钳尾蝎、百足蜈蚣、玛瑙水母、吉利蛋、车轮球、毒刺水母、龙王蝎、蜈蚣王、千针鱼、好坏星、幸福蛋、败露球菇、超坏星、双弹瓦斯、蛋蛋、哎呀球菇、蔓藤怪、伪螳草、兰螳花、椰蛋树、妙蛙花、巨蔓藤、毒蔷薇、罗丝雷朵、凯西、勇基拉、拉鲁拉丝、奇鲁莉安、智挥猩、沙奈朵、胡地、宝石海星、小灰怪、呆呆兽、梦梦蚀、大宇怪、爱管侍、超能妙喵、独角犀牛、石丸子、地幔岩、岩狗狗、钻角犀兽、岩殿居蟹、庞岩怪、超甲狂犀、鬃岩狼人、盆才怪、壶壶、树才怪、百合根娃娃、裙儿小姐、沙铃仙人掌、暴雪王、凯罗斯、赫拉克罗斯、石居蟹、天罩虫、飞天螳螂、巨钳螳螂、以欧路普、萌虻、索侦虫、电电虫、铁面忍者、电蜘蛛、蝶结萌虻、大舌头、咕妞妞、大奶罐、吼爆弹、肯泰罗、爆炸头水牛、爆音怪、大舌舔、奇诺栗鼠、小猫怪、小福蛋、小约克、好啦鱿、沙包蛇、贪心栗鼠、啃果虫、鲤鱼王、利牙鱼、巨牙鲨、龙虾小兵、古月鸟、刺梭鱼、胖可丁、哥达鸭、三合一磁怪、巨钳蟹、袋兽、玛力露丽、盔甲鸟、大嘴鸥、勒克猫、伦琴猫、随风球、毒骷蛙、哈约克、长毛狗、心蝙蝠、头巾混混、盖盖虫、骑士蜗牛、小嘴蜗、敏捷虫、劈斩司令、火箭雀、烈箭鹰、乌贼王、花疗环环、心鳞宝、铁螯龙虾、戽斗尖梭、海星星,52.1537625,20.9200851,"Raszyn, Poland",是,,,
蜂巢岛,小马恩岛,三蜜蜂、吉利蛋、蜂女王、幸福蛋、小福蛋、百合根娃娃、索侦虫、鲤鱼王、弱丁鱼、玛瑙水母、毒刺水母、暴鲤龙、灯笼鱼、电灯怪、长翅鸥、大嘴鸥、吼吼鲸、飘飘球、小球飞鱼、胖嘟嘟、火箭雀、垃垃藻、毒藻龙、铁臂枪虾、钢炮臂虾、裙儿小姐、花疗环环,54.0512891,-4.8140916,"Calf of Man, Isle of Man",是,,,
蜂巢海,小马恩海峡,墨海马、黏黏宝、心鳞宝、海刺龙、啃果虫、吉利蛋、赤面龙、黏美儿、鳞甲龙、暴鲤龙、苹裹龙、丰蜜龙、刺龙王、黏美龙、杖尾鳞甲龙、爆焰龟兽、老翁龙、幸福蛋、音波龙、功夫鼬、拳拳蛸、不良蛙、滑滑小子、毒骷蛙、头巾混混、投掷猴、八爪武师、师父鼬、投摔鬼、打击鬼、列阵兵、葱游兵、利牙鱼、驹刀小兵、索罗亚、巨牙鲨、乌贼王、龙王蝎、劈斩司令、索罗亚克、好啦鱿、混混鳄、狐大盗、酷豹、流氓鳄、灯笼鱼、垃垃藻、铁臂枪虾、海星星、吼吼鲸、弱丁鱼、宝石海星、电灯怪、吼鲸王、毒藻龙、钢炮臂虾、大嘴鸥、小磁怪、咚咚鼠、小猫怪、莫鲁贝可、勒克猫、三合一磁怪、啪嚓海胆、伦琴猫、自爆磁怪、皮丘、皮卡丘、雷丘、雷电兽、逐电犬、玛瑙水母、鲤鱼王、毒刺水母、长翅鸥、飘飘球、小球飞鱼、胖嘟嘟、火箭雀,,,,否,,,
锅底沙漠,尼亚比尔,穿山鼠、黑眼鳄、卡拉卡拉、穿山王、吉利蛋、混混鳄、嘎啦嘎啦、沙螺蟒、袋兽、流氓鳄、螺钉地鼠、沙包蛇、幸福蛋、龙头地鼠、小箭雀、夜盗火蜥、燃烧虫、火箭雀、煤炭龟、烈箭鹰、焰后蜥、火神蛾、烛光灵、水晶灯火灵、喷火龙、九尾、风速狗、独角犀牛、石丸子、地幔岩、岩狗狗、钻角犀兽、岩殿居蟹、庞岩怪、超甲狂犀、鬃岩狼人、盆才怪、壶壶、树才怪、小猫怪、滑滑小子、驹刀小兵、毛头小鹰、秃鹰丫头、心鳞宝、勇士雄鹰、秃鹰娜,,,,否,,,
